run_id,p4_program,topology,n_switches,n_entries_per_switch,operation,mode,repetition,schedule_index,success_count,failure_count,wall_clock_s,entries_per_second
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,insert,async,1,82,80,0,0.04059804099961184,1970.5384306785859
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,insert,async,2,65,80,0,0.06259921099990606,1277.9713789063578
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,insert,async,3,146,80,0,0.04785461397841573,1671.7301290129114
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,insert,async,4,69,80,0,0.06056259898468852,1320.9472734191222
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,insert,sync,0,176,80,0,0.05650045399670489,1415.9178261588058
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,insert,sync,1,195,80,0,0.06266101100482047,1276.7109677474828
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,insert,sync,2,22,80,0,0.04972040301072411,1608.997416669067
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,insert,sync,3,143,80,0,0.04692633499507792,1704.7996611794028
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,insert,sync,4,187,80,0,0.045709216996328905,1750.1940583761286
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,read,async,0,41,80,0,0.014494831004412845,5519.208880437764
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,read,async,1,182,80,0,0.013752972998190671,5816.9240941958315
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,read,async,2,5,80,0,0.017136608017608523,4668.368437779339
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,read,async,3,8,80,0,0.012256838992470875,6526.9683357301465
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,read,async,4,29,80,0,0.015594361000694335,5130.05951295074
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,read,sync,0,37,80,0,0.0082859150134027,9654.938515613272
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,read,sync,1,122,80,0,0.0086699609819334,9227.261825826581
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,read,sync,2,103,80,0,0.008447078987956047,9470.72948105079
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,read,sync,3,209,80,0,0.008211467997170985,9742.472360308973
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,10,read,sync,4,140,80,0,0.008418660989264026,9502.698837976814
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,insert,async,0,170,800,0,0.27388743302435614,2920.908021102443
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,insert,async,1,35,800,0,0.2827530349895824,2829.324184016185
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,insert,async,2,33,800,0,0.28341532897320576,2822.7125289882697
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,insert,async,3,56,800,0,0.27716928598238155,2886.3226932397283
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,insert,async,4,181,800,0,0.2957281300041359,2705.1873624224104
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,insert,sync,0,139,800,0,0.41834747599205,1912.2859486672332
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,insert,sync,1,119,800,0,0.4264000889961608,1876.1722162942679
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,insert,sync,2,85,800,0,0.41221273300470784,1940.7454839364782
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,insert,sync,3,199,800,0,0.41682673600735143,1919.2626837302746
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,insert,sync,4,67,800,0,0.4192207519954536,1908.3024783293072
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,read,async,0,75,800,0,0.046955561003414914,17037.385623862927
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,read,async,1,78,800,0,0.06202174100326374,12898.702730029812
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,read,async,2,160,800,0,0.04599470298853703,17393.307229299404
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,read,async,3,201,800,0,0.06204176400206052,12894.539877580375
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,read,async,4,206,800,0,0.06173014800879173,12959.631975709217
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,read,sync,0,121,800,0,0.03961460100254044,20194.574216428355
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,read,sync,1,117,800,0,0.052941038011340424,15111.150631928167
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,read,sync,2,25,800,0,0.04057996498886496,19714.161907717713
122b7401-9adc-40db-8d2d-b789b1968d61,l3_lpm,linear_n,8,100,read,sync,3,183,800,0,0.05759221999323927,13890.765108445406
