rq,p4_program,packet_size_bytes,background_load_mbps,cold_idle_reference,median_us_rep1,median_us_rep2,delta_us,delta_pct_us,within_5pct_us,within_10pct_us,within_20pct_us,n_samples_rep1,mean_us_rep1,std_us_rep1,p25_us_rep1,p75_us_rep1,p99_us_rep1,p999_us_rep1,n_samples_rep2,mean_us_rep2,std_us_rep2,p25_us_rep2,p75_us_rep2,p99_us_rep2,p999_us_rep2,n_switches,n_entries_per_switch,operation,mode,median_s_rep1,median_s_rep2,delta_s,delta_pct_s,within_5pct_s,within_10pct_s,within_20pct_s,n_reps_rep1,mean_s_rep1,std_s_rep1,p25_s_rep1,p75_s_rep1,median_entries_per_sec_rep1,n_reps_rep2,mean_s_rep2,std_s_rep2,p25_s_rep2,p75_s_rep2,median_entries_per_sec_rep2,abs_mean_us_rep1,abs_mean_us_rep2,p1_us_rep1,abs_p99_us_rep1,per_hop_n_rep1,per_hop_abs_mean_us_rep1,p1_us_rep2,abs_p99_us_rep2,per_hop_n_rep2,per_hop_abs_mean_us_rep2,topology,source_workload_type,metric,mean_rep1,mean_rep2,delta_value,delta_pct_value,within_5pct_value,within_10pct_value,within_20pct_value,max_rep1,std_rep1,p5_rep1,p95_rep1,max_rep2,std_rep2,p5_rep2,p95_rep2
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,insert,sync,0.0188742985046701,0.0208242540002174,0.0019499554955473009,10.331274007692631,False,False,True,10.0,0.0191553685028338,0.0035311530148974,0.0179698327483492,0.0207547622485435,1059.6438640088527,10.0,0.0202338674997008,0.0050315426768419,0.0172094267491047,0.0240427802505109,962.1221330102117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,read,async,0.0056537594937253,0.0053500635003729,-0.0003036959933524,-5.3715760935612895,False,True,True,10.0,0.0066094725945731,0.002066238749213,0.0053091155059519,0.0071881127514643,3537.5085997206293,10.0,0.0054197264997128,0.0006818619959993,0.004805077500805,0.0060107079989393,3752.8793299818262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,read,sync,0.0023408924898831,0.0021068585001557,-0.0002340339897274001,-9.997639393472845,False,True,True,10.0,0.0026662414020393,0.0008780029358478,0.0021315805061021,0.002940391015727,8572.13838584329,10.0,0.0021236589005638,0.0002095943209041,0.0019658565015561,0.0022048670002732,9493.907950794946,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,100.0,insert,async,0.0694860765070188,0.0685880449996148,-0.0008980315074040013,-1.292390580310418,True,True,True,10.0,0.0698661286995047,0.0048355137827021,0.0661753097592736,0.0742514979865518,2878.9351525996603,15.0,0.0687054180665351,0.0031038606990765,0.0662977439994847,0.0711601325001538,2915.9600627357618,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,100.0,insert,sync,0.1067761599988443,0.1013965910005936,-0.005379568998250692,-5.038174250046938,False,True,True,10.0,0.1087858082930324,0.011852094524658,0.0993326002499088,0.1154778484924463,1873.253811403123,15.0,0.1012204657331494,0.010204877641371,0.094465183498869,0.1043650834997151,1972.4529003034147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,100.0,read,async,0.0130407065007602,0.0122072209996986,-0.0008334855010616003,-6.391413693828726,False,True,True,10.0,0.0157540643005631,0.0061963441476746,0.0124885597542743,0.0139308429934317,15340.065419812803,15.0,0.0143303709997629,0.0046354560120493,0.0118719814990981,0.0138800114999639,16383.745326224349,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,100.0,read,sync,0.0099140644888393,0.0095302600000195,-0.00038380448881980035,-3.871313216207802,True,True,True,10.0,0.0112974923977162,0.004686298676421,0.0093979869998293,0.0103144515087478,20174.78725989656,15.0,0.0123743885334533,0.006168746932474,0.0087723450005796,0.0112735274998385,20985.78632687772,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1000.0,insert,async,0.611946244011051,0.5810680630002025,-0.030878181010848493,-5.045897627944403,False,True,True,10.0,0.6066464053001255,0.0220440194036285,0.599405278750055,0.6223010882531526,3268.2977298592405,10.0,0.5795618452995768,0.0124743255372496,0.5727671029999328,0.5882982702491972,3441.9886878019424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1000.0,insert,sync,0.9160505195031874,0.8721312489997217,-0.04391927050346567,-4.794415762930295,True,True,True,10.0,0.9167753519956022,0.0208154702337912,0.9072962172431288,0.921261198745924,2183.28570036129,10.0,0.8740882877998957,0.0147529132480935,0.8681181232500421,0.878199239749847,2293.2421406529675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq2,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1000.0,read,async,0.1015630780166247,0.0964078545002848,-0.005155223516339902,-5.075883497244984,False,True,True,10.0,0.1037985839066095,0.0064748577668724,0.0989633820063318,0.1099292142534977,19694.88671755202,10.0,0.0977131037006984,0.0039563168499496,0.0957323585007543,0.0994257087500045,20745.201176251016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
