run_id,p4_program,topology,n_switches,background_load_mbps,rate_mbps,source_workload_type,duration_s,resource_sample_interval_s,metric,repetition,schedule_index,n_samples,mean,std,median,iqr,p5,p95,p99,max
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,cpu_percent_per_bmv2,0,16,601,663.544758735441,45.08233959453185,670.0,36.39999999999998,559.5,710.3,730.6999999999999,1138.8
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,cpu_percent_per_bmv2,1,3,601,658.4159733777038,46.3013147159555,668.0,31.399999999999977,561.9,708.1,721.4,748.3
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,cpu_percent_per_bmv2,2,22,601,663.4665557404327,38.50101379120604,670.3,36.60000000000002,569.6,709.8,720.5,740.6999999999999
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,cpu_percent_per_bmv2,3,30,600,665.5086666666666,70.87123024907393,670.1500000000001,37.75,561.29,710.9,729.914,2086.4
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,cpu_percent_per_bmv2,4,26,601,671.6770382695507,27.676271519363535,670.5999999999999,22.59999999999991,638.9,701.8,718.8,1111.8
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,cpu_percent_total,0,16,601,48.27970049916805,3.1200139812960908,48.7,2.299999999999997,41.9,51.6,54.3,57.8
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,cpu_percent_total,1,3,601,45.03910149750416,2.9163822094073595,45.2,2.3999999999999986,40.8,48.3,50.7,53.9
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,cpu_percent_total,2,22,601,46.04792013311148,2.703923045060759,46.3,2.6000000000000014,41.6,49.7,51.0,54.4
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,cpu_percent_total,3,30,600,49.717333333333336,3.1488556188563,50.3,1.8000000000000043,43.294999999999995,52.2,53.80799999999999,61.3
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,cpu_percent_total,4,26,601,45.394342762063225,2.140506468646698,45.4,1.8000000000000043,43.3,47.6,51.0,55.6
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,net_io_pps_per_iface,0,16,601,31258.15278301375,4439.31631538787,31078.122896738034,137.1469288762346,30895.568273108966,31268.68573486881,31373.196409414173,139871.2135913322
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,net_io_pps_per_iface,1,3,601,31374.165169232845,7286.107005219538,31075.764690128162,175.0553817108521,30869.42382405774,31287.09501126932,31342.0864428923,209670.94978327598
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,net_io_pps_per_iface,2,22,601,31228.047316025346,3685.549464745798,31074.16551692176,173.0192632425933,30877.340527709872,31279.831544849694,31370.17070590402,121376.1759925563
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,net_io_pps_per_iface,3,30,600,31218.783161977244,3463.090735584639,31081.278925331026,180.90030575807032,30867.582597760473,31285.807678044228,31455.92625690528,115835.80711640474
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,net_io_pps_per_iface,4,26,601,31290.04791078263,5204.842842616096,31073.485894278325,159.30525010973724,30890.347345439026,31260.08440638412,31334.950921641765,158638.4170308726
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,rss_per_bmv2_bytes,0,16,601,337813544.8918469,60820.64416673517,337772544.0,131072.0,337772544.0,337903616.0,337903616.0,337903616.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,rss_per_bmv2_bytes,1,3,601,337641472.0,0.0,337641472.0,0.0,337641472.0,337641472.0,337641472.0,337641472.0
ae42b961-22af-40d9-99a1-1694e83275cc,l3_lpm,linear_n,8,45,45,resource_only,60.0,0.1,rss_per_bmv2_bytes,2,22,601,336199680.0,0.0,336199680.0,0.0,336199680.0,336199680.0,336199680.0,336199680.0
